Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
RING,45,30.1,26.7,43.2,1.61,0.31,0.214,0.071,0.397,0.229,1.22,7.9,5.9,-2.45
RING,60,29.1,29.1,41.8,1.69,0.309,0.222,0.07,0.378,0.256,1.19,4.1,6,-3.17
RING,75,27.7,31.7,40.6,1.75,0.314,0.22,0.061,0.364,0.198,1.19,1.9,4.8,-3.05
SALL,5,22.9,61.4,15.7,1.44,0.35,0.061,0.051,0.402,0.013,2.25,13.8,0.7,0.83
SALL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SALL,25,21.1,60.1,18.8,1.52,0.265,0.063,0.033,0.362,0.037,1.67,13.1,1.5,0.59
SALL,45,19.1,58.4,22.6,1.61,0.281,0.088,0.042,0.364,0.035,1.63,7,1.3,0.51
SALL,60,16.1,51.7,32.2,1.65,0.363,0.159,0.064,0.404,0.019,1.64,1.6,0.6,0.71
SALL,75,16.2,52.3,31.5,1.71,0.363,0.151,0.063,0.394,0.015,1.72,1,0.5,0.72
SEIL,5,39.2,38,22.8,1.31,0.226,0.087,0.035,0.417,0.173,1.38,28,9.6,-0.46
SEIL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SEIL,25,35.6,34.4,30,1.48,0.25,0.122,0.05,0.396,0.155,1.35,16.2,6,-0.71
SEIL,45,44.1,29.2,26.7,1.34,0.185,0.09,0.045,0.422,0.375,1.38,52,23.8,-1.21
SEIL,60,46.7,26.7,26.7,1.44,0.164,0.084,0.046,0.398,0.429,1.41,65.4,25.4,-1.3
SEIL,75,52.3,28.6,19.1,1.51,0.176,0.083,0.038,0.372,0.341,1.37,42.3,17.8,-1.27
SHAW,5,23.2,57.9,18.9,1.6,0.299,0.1,0.045,0.369,0.03,1.66,7.6,1.1,0.56
SHAW,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SHAW,25,17.6,54.5,27.9,1.32,0.227,0.097,0.042,0.414,0.191,1.38,16.5,9.8,-0.64
SHAW,45,9.4,43.7,46.9,1.59,0.39,0.249,0.069,0.434,0.068,1.25,1.7,1.6,-0.42
SHAW,60,10.7,43.1,46.3,1.72,0.361,0.263,0.067,0.393,0.186,1.15,0.9,4,-4.11
SHAW,75,9.1,44.8,46.1,1.76,0.382,0.254,0.06,0.395,0.072,1.2,0.4,1.7,-1.15
SKIA,5,64.2,24.5,11.3,1.19,0.198,0.042,0.019,0.438,0.211,1.35,124.7,16.5,-0.45
SKIA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SKIA,25,64.3,23.8,11.9,1.49,0.128,0.032,0.02,0.367,0.393,1.38,82.7,26.5,-1.15
SKIA,45,46.6,19.1,34.3,1.43,0.249,0.145,0.065,0.426,0.275,1.31,46.6,10.9,-1.43
SKIA,60,42.7,15.9,41.4,1.63,0.355,0.212,0.056,0.399,0.059,1.29,3.7,1.6,-0.06
SKIA,75,51.4,17.9,30.7,1.7,0.303,0.147,0.046,0.364,0.052,1.39,3.9,1.6,0.18
SLAP,5,88.1,0,11.9,1.68,0.079,0.043,0.038,0.351,0.582,1.74,505.7,49.2,-1.06
SLAP,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SLAP,25,73,7.5,19.5,1.64,0.174,0.089,0.041,0.363,0.365,1.35,65.8,17.3,-1.46
SLAP,45,74.9,3.8,21.3,1.6,0.131,0.073,0.047,0.379,0.538,1.48,235.5,33.2,-1.35
SLAP,60,78.1,4.4,17.5,1.75,0.137,0.06,0.033,0.333,0.401,1.37,93.4,20.5,-1.42
SLAP,75,46.6,28.9,24.5,1.63,0.284,0.073,0.039,0.356,0.026,1.72,5.6,1,0.62
SPEN,5,74.2,9.4,16.4,1.43,0.167,0.058,0.028,0.409,0.338,1.35,133.3,23.3,-1.09
SPEN,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SPEN,25,39.8,19.2,41,1.76,0.336,0.207,0.05,0.365,0.067,1.25,1.8,1.8,-0.52
SPEN,45,38.6,18.6,42.8,1.74,0.332,0.203,0.052,0.371,0.072,1.26,2.8,2,-0.53
SPEN,60,56.6,7.7,35.7,1.75,0.291,0.178,0.048,0.357,0.123,1.25,6.3,3.8,-1.22
SPEN,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
STIG,5,21.9,65.5,12.6,1.83,0.285,0.059,0.037,0.327,0.017,1.91,2.7,0.7,0.53
STIG,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
STIG,25,19.6,66.6,13.8,1.64,0.319,0.048,0.044,0.365,0.012,2.24,6.5,0.7,0.71
STIG,45,18,63.7,18.3,1.84,0.263,0.083,0.035,0.322,0.037,1.55,2.8,1.3,0.31
STIG,60,15.3,54.8,29.9,1.86,-9.9,0.172,0.061,0.324,0.125,1.31,1.1,3.1,-1.14
STIG,75,11.1,50.5,38.4,1.83,-9.9,0.232,0.072,0.346,0.135,1.28,0.9,3,-1.37
STIL,5,15.7,49.6,34.8,1.3,0.331,0.217,0.091,0.474,0.25,1.27,20.4,7.2,-1.86
STIL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
STIL,25,24.9,47.1,28,1.6,0.31,0.16,0.055,0.387,0.072,1.36,4.3,2.1,-0.12
STIL,45,27.6,44.5,27.9,1.48,0.271,0.127,0.05,0.396,0.107,1.38,11,3.8,-0.31
STIL,60,29.4,42,28.6,1.58,0.284,0.142,0.052,0.381,0.093,1.36,6.1,3,-0.33
STIL,75,25.2,29.7,45.1,1.7,0.381,0.257,0.058,0.396,0.077,1.2,0.8,1.9,-1.2
STUA,5,82.6,14.4,2.9,1.54,0.135,0.023,0.016,0.357,0.311,1.37,73.1,20.3,-1.01
STUA,10,85.6,11.9,2.5,1.28,0.1,0.014,0.014,0.436,0.657,1.39,382.4,75.7,-1.24
STUA,25,75.4,19.2,5.4,1.53,0.089,0.02,0.019,0.358,0.56,1.47,137,44.9,-1.15
STUA,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
STUA,60,74.4,9.2,16.4,1.84,0.222,0.099,0.031,0.316,0.123,1.33,6.6,5,-0.72
STUA,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SULP,5,43.3,22.8,33.9,0.98,0.222,0.133,0.068,0.55,0.614,1.37,128.8,88.4,-1.66
SULP,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
SULP,25,38.9,19.1,42,1.24,0.28,0.175,0.085,0.492,0.344,1.3,76.1,15.7,-1.75
SULP,45,35.5,17.2,47.3,1.35,0.307,0.201,0.086,0.471,0.281,1.27,50,9.3,-1.92
SULP,60,50.7,19,30.3,1.42,0.193,0.119,0.068,0.42,0.457,1.4,91.1,23.2,-1.52
SULP,75,48.2,26.5,25.3,1.4,0.146,0.08,0.048,0.405,0.512,1.47,80.8,35.9,-1.25
TAHL,5,25.8,61.6,12.6,1.01,0.204,0.049,0.019,0.448,0.231,1.36,64.5,19.4,-0.46
TAHL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TAHL,25,21.4,60.4,18.2,1.3,0.263,0.074,0.032,0.401,0.063,1.54,29.9,2.9,0.52
TAHL,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TAHL,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TAHL,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TALA,5,30.1,54.6,15.2,1.3,0.348,0.113,0.054,0.429,0.024,1.79,32.1,1,0.88
TALA,10,30.4,52.4,17.2,1.4,0.27,0.114,0.042,0.396,0.094,1.42,24.7,3.8,-0.04
TALA,25,30,45.7,24.3,1.35,0.301,0.142,0.055,0.428,0.09,1.41,18.7,3.2,-0.02
TALA,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TALA,60,16,35.6,48.4,1.3,0.37,0.239,0.088,0.495,0.165,1.25,20.1,4.4,-1.41
TALA,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TALI,5,45.4,35.8,18.8,1.36,0.243,0.073,0.031,0.396,0.089,1.46,25.3,4.3,0.21
TALI,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
TALI,25,23.4,27.2,49.4,1.31,0.345,0.175,0.071,0.478,0.077,1.39,27.4,2.3,0.11
